<eps>	0     0
SIL	    1     0
SPN	    2     0
AA	    3     1
AE	    4     1
AH	    5     1
AO	    6     1
AW	    7     1
AY	    8     1
B	    9     1
CH	    10    1
D	    11    1
DH	    12    1
EH	    13    1
ER	    14    1
EY	    15    1
F	    16    1
G	    17    1
HH	    18    1
IH	    19    1
IY	    20    1
JH	    21    1
K	    22    1
L	    23    1
M	    24    1
N	    25    1
NG	    26    1
OW	    27    1
OY	    28    1
P	    29    1
R	    30    1
S	    31    1
SH	    32    1
T	    33    1
TH	    34    1
UH	    35    1
UW	    36    1
V	    37    1
W	    38    1
Y	    39    1
Z	    40    1
ZH	    41    1
